overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,Total_Frequency,star_signAquarius,star_signAries,star_signCancer,star_signCapricorn,star_signGemini,star_signLeo,star_signLibra,star_signPisces,star_signSagittarius,star_signScopio,star_signTaurus,star_signVirgo
71,74,65,68,59,71,69,71,64,50,68,72,70,71,72,72,68,63,59,77,71,67,39,57,73,73,67,38,36,32,0.403225806,0,0,0,0,0,0,0,1,0,0,0,0
68,68,18,15,15,34,23,18,17,17,21,28,31,44,36,65,41,27,45,43,67,19,44,22,18,25,45,17,17,17,0.354166667,0,0,0,0,0,0,1,0,0,0,0,0
60,60,50,38,62,58,47,52,31,37,53,56,56,56,46,58,41,43,45,69,82,21,61,65,23,46,45,59,61,58,0,0,0,0,0,1,0,0,0,0,0,0,0
60,63,51,39,54,58,36,43,36,37,54,53,68,66,63,61,73,60,65,67,66,41,68,60,43,52,44,58,62,63,0.458333333,0,0,1,0,0,0,0,0,0,0,0,0
60,61,52,26,57,49,39,35,27,27,45,42,59,67,55,55,55,58,60,72,77,27,74,62,27,35,31,62,65,63,0,0,0,0,0,0,0,0,0,0,1,0,0
65,67,42,30,68,61,28,35,35,42,57,57,46,54,41,59,62,61,56,71,82,34,70,70,38,52,65,64,64,61,0.428571429,0,0,0,0,0,0,1,0,0,0,0,0
60,64,50,46,65,63,40.91478087,48,44.10777493,32,58,50,53,63,64.20874872,60,63.77075488,54,62.12503183,70,60,46,65,54,66,60.65530377,43,53,54,55.09724991,0.5,0,0,0,0,0,0,0,0,0,0,1,0
67,71,62,60,59,63,46,73,47,44,46,67,83,84,83,59,41,65,59,66,57,42,59,39,63,59,53,21,36,16,0.5,0,0,0,0,0,0,0,0,0,0,0,1
70,71,61,59,62,75,64,69,70,68,70,74,63,68,69,68,70,69,83,59,72,67,71,64,64,75,69,62,67,64,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0
68,72,52,24,69,62,34,47,38,39,55,55,57,59,58,61,64,60,72,59,79,46,81,64,37,60,43,69,67,62,0.32,0,0,0,0,0,0,0,0,1,0,0,0
76,80,73,75,63,77,70.55144956,78,73.59481732,78,74,76,83,74,70.29069741,67,63.66526959,76,64.12557206,75,68,78,57,74,77,77.1203516,75,41,25,32.99334185,0.277777778,0,0,0,0,0,0,0,1,0,0,0,0
60,65,59,71,67,52,58.7251587,54,52.14727997,49,42,52,61,57,66.41121402,54,68.52036519,58,66.45735606,55,68,56,42,45,62,54.08835148,48,38,41,26.79155559,0,0,0,0,0,0,0,0,0,0,0,1,0
60,60,69,60,45,65,49,69,40,39,58,60,76,76,68,54,72,62,67,69,37,52,69,37,69,66,28,42,48,45,0.5,1,0,0,0,0,0,0,0,0,0,0,0
64,69,59,61,52,59,50,68,66,50,55,63,72,70,76,63,69,60,63,71,71,60,53,32,52,60,52,25,32,22,0,0,0,0,0,0,0,0,0,1,0,0,0
68,70,60,61,65,69,64,63,67,33,64,66,76,76,72,66,63,62,54,73,68,61,53,57,72,70,53,44,54,53,0.384615385,0,0,0,0,0,1,0,0,0,0,0,0
55,60,16,15,26,15,11,14,10,10,25,15,52,57,46,46,46,25,78,46,57,16,40,30,13,25,23,16,16,10,0.375,0,0,0,0,0,0,0,1,0,0,0,0
66,66,68,60,34,72,48,64,72,68,70,68,63,65,63,66,60,55,58,72,63,65,48,58,60,68,49,52,45,48,0.3125,0,0,0,0,0,0,0,0,0,0,1,0
61,63,60,52,47,62,52,60,60,57,54,62,67,68,71,62,64,57,70,68,58,48,73,46,66,49,53,42,50,55,0.358695652,0,0,1,0,0,0,0,0,0,0,0,0
58,60,21,20,20,22,21,20,22,23,21,22,60,51,42,47,40,24,68,38,61,20,40,23,22,33,23,20,20,22,0.4,1,0,0,0,0,0,0,0,0,0,0,0
