match_api_id,team_api_id,team_type,spread,status,fire,water,earth,air,Aries,Leo,Sagittarius,Cancer,Scopio,Pisces,Taurus,Virgo,Capricorn,Gemini,Libra,Aquarius,TeamGoal
836205,10229,away,1,lose,1,6,2,2,1,0,0,1,2,3,1,1,0,0,2,0,1
836218,10229,away,1,win,1,7,2,1,1,0,0,0,2,5,0,0,2,0,1,0,1
836225,10235,away,1,lose,1,4,2,4,0,0,1,0,2,2,0,0,2,0,1,3,1
836237,10229,home,1,win,1,7,2,1,1,0,0,0,2,5,0,0,2,0,1,0,1
836248,8525,home,1,lose,3,5,1,2,1,0,2,1,1,3,0,0,1,0,1,1,1
836263,10218,away,1,lose,3,3,4,1,1,2,0,0,2,1,2,2,0,0,0,1,1
836267,9791,home,1,lose,3,4,1,3,1,0,2,0,2,2,0,1,0,1,0,2,1
836273,8593,away,1,lose,2,2,2,5,1,0,1,1,0,1,1,1,0,2,0,3,1
836282,8611,away,1,win,4,4,2,1,0,4,0,0,2,2,0,1,1,0,1,0,1
836283,10218,home,1,lose,3,3,4,1,2,1,0,0,2,1,2,2,0,0,0,1,1
836287,8674,home,1,win,3,4,1,3,1,2,0,0,1,3,0,0,1,1,2,0,1
836292,8277,home,3,lose,2,2,2,5,0,2,0,1,0,1,1,1,0,1,1,3,1
836297,9761,away,1,lose,1,3,3,4,1,0,0,0,2,1,0,1,2,2,1,1,1
836309,8277,away,3,lose,2,2,3,4,0,2,0,1,0,1,1,1,1,0,1,3,1
836326,9761,home,3,lose,1,5,2,3,1,0,0,1,2,2,0,1,1,1,1,1,1
836328,8525,away,2,lose,2,6,1,2,1,0,1,1,1,4,0,1,0,0,1,1,1
836330,10217,home,2,lose,1,3,4,3,0,1,0,0,1,2,1,1,2,2,1,0,1
836337,10228,home,2,lose,1,4,3,3,0,1,0,2,2,0,0,0,3,3,0,0,1
836339,10229,home,1,lose,2,5,3,1,2,0,0,1,1,3,1,0,2,0,1,0,1
836346,8611,away,1,win,3,4,4,0,0,3,0,0,2,2,1,1,2,0,0,0,1
836351,9791,away,3,lose,3,4,1,3,1,0,2,0,2,2,0,1,0,2,1,0,1
836354,10235,home,1,lose,1,5,1,4,0,0,1,0,2,3,0,0,1,0,1,3,1
836357,10217,home,1,win,1,3,4,3,0,1,0,0,2,1,1,2,1,2,1,0,1
836364,10218,home,1,lose,2,3,4,2,1,1,0,0,2,1,2,1,1,1,0,1,1
836367,9761,home,1,lose,2,4,2,3,1,1,0,1,2,1,0,0,2,2,0,1,1
836373,10217,away,1,win,1,3,4,3,0,1,0,0,2,1,1,2,1,2,1,0,1
836375,9908,away,1,lose,2,3,2,4,1,0,1,1,1,1,2,0,0,1,1,2,1
836386,8611,home,1,lose,4,4,3,0,0,4,0,0,2,2,0,1,2,0,0,0,1
836388,8526,away,1,win,2,2,3,4,0,1,1,0,1,1,1,1,1,1,2,1,1
836394,9839,away,4,lose,1,1,6,3,0,0,1,0,0,1,2,2,2,0,2,1,1
836403,9803,home,2,lose,1,3,5,2,0,1,0,2,1,0,3,0,2,2,0,0,1
836405,10218,home,1,win,3,3,4,1,2,1,0,0,2,1,1,2,1,0,0,1,1
836407,8611,away,1,lose,4,4,3,0,0,4,0,0,2,2,0,1,2,0,0,0,1
836430,9803,home,1,win,2,3,6,0,1,1,0,2,1,0,3,1,2,0,0,0,1
836445,10217,home,1,lose,1,3,4,3,0,1,0,0,2,1,1,2,1,2,1,0,1
836448,9908,home,1,lose,2,3,2,4,1,0,1,1,0,2,2,0,0,1,1,2,1
836451,8277,home,3,lose,3,1,3,4,0,3,0,1,0,0,0,1,2,0,1,3,1
836456,10228,home,1,lose,1,5,3,2,0,1,0,2,2,1,0,0,3,2,0,0,1
836462,10218,away,2,lose,3,3,4,1,2,1,0,0,2,1,1,2,1,0,0,1,1
836475,8525,home,2,lose,3,4,1,3,2,1,0,1,1,2,1,0,0,0,1,2,1
836481,9908,home,2,lose,3,2,2,4,1,1,1,1,1,0,2,0,0,1,1,2,1
836483,8593,away,1,win,2,1,2,6,1,0,1,0,0,1,1,1,0,2,1,3,1
836490,10235,home,1,win,1,5,2,3,0,0,1,0,2,3,0,0,2,0,1,2,1
836494,8525,home,1,lose,3,4,2,2,2,1,0,1,0,3,1,1,0,0,1,1,1
836502,9839,away,1,lose,2,1,6,2,1,0,1,0,1,0,3,1,2,0,2,0,1
836507,9803,home,2,lose,2,3,6,0,1,1,0,3,0,0,3,1,2,0,0,0,1
836512,10228,home,2,lose,1,5,3,2,0,1,0,2,2,1,0,0,3,2,0,0,1
836516,8525,home,1,win,3,6,1,1,2,0,1,1,2,3,1,0,0,0,1,0,1
836526,8674,away,1,lose,3,3,2,3,1,2,0,0,1,2,0,0,2,1,2,0,1
836542,9839,home,5,lose,1,0,6,4,1,0,0,0,0,0,3,2,1,1,2,1,1
836544,8525,home,1,lose,3,5,2,1,2,0,1,1,2,2,1,1,0,0,1,0,1
